145690624:08:30:08:54:18 11:72020
145689796:05:20:10:05:50 20:19785
145689908:10:13:05:33:40 36:62185
145890203:05:22:07:37:03 91:05774
145692653:10:31:08:02:37 93:88544
145692665:01:30:08:46:00 113:78075
145693577:07:27:02:23:46 115:87503
145694087:03:08:11:44:17 116:43500
145694192:10:30:04:16:11 127:72476
145697144:08:06:04:46:52 137:37135
145697206:03:03:03:21:21 139:49911
145697330:12:28:11:54:25 143:30467
145697830:12:02:06:45:07 152:05508
145698784:07:01:11:51:44 152:62436
145698986:01:17:11:23:32 166:05853
145700075:05:11:01:43:37 173:28048
145702814:11:07:01:25:08 176:40039
145704578:05:21:02:26:51 179:59432
145708327:05:19:09:58:47 195:19854
145710013:05:03:11:59:15 230:83470
145710313:07:12:03:58:22 251:31669
145711370:12:21:09:34:01 272:10259
145713015:11:29:05:38:20 282:72510
145713828:10:21:05:19:42 290:36567
145719186:12:12:02:25:50 290:49687
145720264:10:25:12:24:36 291:21151
145723581:04:18:12:10:39 306:04802
145724646:10:28:04:29:16 311:86729
145725427:10:28:04:36:45 322:81581
145726027:06:18:03:42:38 324:15724
145728039:01:15:12:25:19 327:00524
145728866:09:02:10:53:03 328:83554
145734916:12:16:02:09:45 331:36795
145735015:08:10:02:43:20 331:89774
145736814:02:12:04:58:23 334:02483
145738303:05:05:05:20:28 340:16761
145739147:12:22:06:02:15 350:77738
145739373:08:25:10:04:30 375:95748
145742469:09:12:11:15:36 406:53667
145744802:12:04:01:42:46 425:03233
145744986:10:03:06:41:09 425:48058
145746760:10:25:07:35:52 455:95456
145748422:09:07:11:19:15 459:69234
145751856:07:08:06:16:57 505:56804
145753965:07:27:05:59:58 530:98288
145756882:09:16:03:50:49 575:46084
145763212:04:04:08:26:08 586:25371
145763275:06:26:08:51:29 589:28091
145764284:11:22:09:23:42 593:46417
145764572:08:13:10:31:29 602:50218
145765645:10:21:03:37:46 656:44588
145768545:01:21:01:31:53 657:12404
145770124:05:10:06:18:05 657:89427
145772623:01:28:03:38:51 658:91288
145774428:03:01:12:08:11 663:38054
145780182:02:02:08:07:15 674:52463
145782947:01:20:09:44:03 685:52762
145789454:05:28:09:24:09 687:86200
145791555:03:16:08:24:53 688:11429
145791810:01:16:06:59:57 689:78172
145792442:06:30:12:31:32 691:91075
145798369:07:27:09:27:13 704:40473
145798433:12:31:05:18:35 715:00497
145798453:06:19:12:25:00 737:32089
145799162:12:04:02:52:32 759:70697
145801866:03:09:10:52:08 767:50965
145803968:06:30:11:44:06 769:42364
145806367:04:07:07:14:52 777:42673
145807506:02:23:07:23:25 791:84496
145808017:09:29:12:58:46 792:24451
145808106:03:27:11:12:47 807:59583
145811112:02:21:12:56:34 808:17968
145811193:10:30:09:37:35 811:22220
145812011:05:09:08:39:00 819:08659
145812551:01:05:01:32:37 832:63676
145817870:08:14:10:33:09 841:46987
145817935:01:06:04:45:53 841:51162
145818478:08:30:03:05:41 845:93330
145818867:01:10:08:53:55 863:18625
145820857:09:18:09:51:10 874:41917
145821153:07:05:05:36:02 883:20868
145824641:11:08:05:34:01 885:88121
145826962:08:25:10:21:32 895:34612
145829454:08:26:02:20:19 903:46562
145829679:03:09:12:24:05 906:82049
145836200:09:16:05:16:40 907:53710
145837743:02:07:09:31:16 926:57710
145838380:04:30:08:03:09 929:80103
145841233:07:18:08:53:57 937:05513
145843591:01:10:02:01:23 940:50011
145844585:05:09:05:23:00 960:04148
145864610:11:21:01:08:30 962:83693
145865365:04:22:11:06:07 966:26247
145870562:10:23:09:47:56 985:06501
145873976:08:11:03:57:09 986:60967
145881618:08:10:03:05:25 991:55624
2009:01:16:10:36:42 11:72020
2009:01:16:10:36:42 20:19785
2009:01:16:10:36:42 36:62185
2009:01:16:10:36:44 91:05774
2009:01:16:10:36:44 93:88544
2009:01:16:10:36:44 113:78075
2009:01:16:10:36:44 115:87503
2009:01:16:10:36:45 116:43500
2009:01:16:10:36:45 127:72476
2009:01:16:10:36:45 137:37135
2009:01:16:10:36:45 139:49911
2009:01:16:10:36:46 143:30467
2009:01:16:10:36:46 152:05508
2009:01:16:10:36:46 152:62436
2009:01:16:10:36:46 166:05853
2009:01:16:10:36:47 173:28048
2009:01:16:10:36:47 176:40039
2009:01:16:10:36:47 179:59432
2009:01:16:10:36:48 195:19854
2009:01:16:10:36:48 230:83470
2009:01:16:10:36:48 251:31669
2009:01:16:10:36:48 272:10259
2009:01:16:10:36:49 282:72510
2009:01:16:10:36:49 290:36567
2009:01:16:10:36:49 290:49687
2009:01:16:10:36:49 291:21151
2009:01:16:10:36:50 306:04802
2009:01:16:10:36:50 311:86729
2009:01:16:10:36:50 322:81581
2009:01:16:10:36:50 324:15724
2009:01:16:10:36:51 327:00524
2009:01:16:10:36:51 328:83554
2009:01:16:10:36:51 331:36795
2009:01:16:10:36:51 331:89774
2009:01:16:10:36:52 334:02483
2009:01:16:10:36:52 340:16761
2009:01:16:10:36:52 350:77738
2009:01:16:10:36:52 375:95748
2009:01:16:10:36:53 406:53667
2009:01:16:10:36:53 425:03233
2009:01:16:10:36:53 425:48058
2009:01:16:10:36:53 455:95456
2009:01:16:10:36:54 459:69234
2009:01:16:10:36:54 505:56804
2009:01:16:10:36:54 530:98288
2009:01:16:10:36:54 575:46084
2009:01:16:10:36:55 586:25371
2009:01:16:10:36:55 589:28091
2009:01:16:10:36:55 593:46417
2009:01:16:10:36:55 602:50218
2009:01:16:10:36:56 656:44588
2009:01:16:10:36:56 657:12404
2009:01:16:10:36:56 657:89427
2009:01:16:10:36:56 658:91288
2009:01:16:10:36:57 663:38054
