2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
2009:01:20:08:45:43 -14273:70432
2009:01:20:08:45:40 3252078:26978
2009:01:20:08:45:40 -12841:85581
2009:01:20:08:45:40 3368538:49684
2009:01:20:08:45:41 -13183:81354
2009:01:20:08:45:41 -13306:57931
2009:01:20:08:45:41 -13714:83265
2009:01:20:08:45:41 -13555:22644
2009:01:20:08:45:41 -13862:17185
2009:01:20:08:45:42 -13927:19569
2009:01:20:08:45:42 -13645:75041
2009:01:20:08:45:42 3598494:32705
2009:01:20:08:45:43 -14201:64241
